"id","title","description","availability","inventory","condition","price","link","image_link","additional_image_link","brand","sale_price","google_product_category"
"9LKqzSVgTV7ZRncINFJqig","Renault Duster Privilege","💥Modelo: 2017
💥Motor: undefined
💥undefined
💥undefined
💥130.000 km
💥Tracción: 4x2","in stock","1","used","4900000 ARS","https://www.facebook.com/MonzaAutomotor","https://res.cloudinary.com/dyrpgj8od/image/upload/v1677849948/Monza/d0twbd0ravfhijzrj55n.jpg","https://res.cloudinary.com/dyrpgj8od/image/upload/v1677849950/Monza/emqebdkiom0p6jdsjhbp.jpg,https://res.cloudinary.com/dyrpgj8od/image/upload/v1677849952/Monza/tc2jpysdspkn1miic8e8.jpg,https://res.cloudinary.com/dyrpgj8od/image/upload/v1677849953/Monza/pcnypnhwj52d2m46jafv.jpg,https://res.cloudinary.com/dyrpgj8od/image/upload/v1677849955/Monza/znglxvunvqj3vf47acok.jpg,https://res.cloudinary.com/dyrpgj8od/image/upload/v1677849958/Monza/xlk5gvvjljxg2w2t8ft5.jpg,https://res.cloudinary.com/dyrpgj8od/image/upload/v1677849959/Monza/whwsbgd6fuchavohtvb1.jpg","Vehicle","","888"
"bTPDsh1QLLWHR1NAkvVmVR","Chevrolet Tracker LTZ","💥Modelo: 2017
💥Motor: undefined
💥undefined
💥undefined
💥81.000 km
💥Tracción: 4x2","in stock","1","used","6200000 ARS","https://www.facebook.com/MonzaAutomotor","https://res.cloudinary.com/dyrpgj8od/image/upload/v1685626804/Monza/xogau4tddyqkxqq7y5pk.jpg","https://res.cloudinary.com/dyrpgj8od/image/upload/v1685626805/Monza/kvhwqmtg2iwmjxoz4ifm.jpg,https://res.cloudinary.com/dyrpgj8od/image/upload/v1685626807/Monza/t8pyg9x0zloogkd7nrvh.jpg,https://res.cloudinary.com/dyrpgj8od/image/upload/v1685626809/Monza/bey07d9enlzsc7legfwm.jpg,https://res.cloudinary.com/dyrpgj8od/image/upload/v1685626810/Monza/swinyqphvmuu3kmv2jjz.jpg,https://res.cloudinary.com/dyrpgj8od/image/upload/v1685626812/Monza/rzaxyteypkraqxvg27be.jpg","Vehicle","","888"
"CbUJn1OgbCGk38DdXdBbnv","Chevrolet Prisma LS Joy","💥Modelo: 2019
💥Motor: undefined
💥undefined
💥undefined
💥72.000 km
💥Tracción: Normal","in stock","1","used","4700000 ARS","https://www.facebook.com/MonzaAutomotor","https://res.cloudinary.com/dyrpgj8od/image/upload/v1673441545/Monza/wc4whs0el2de3avwehhj.jpg","https://res.cloudinary.com/dyrpgj8od/image/upload/v1673441547/Monza/rkrp9bcrnkyszgtdobki.jpg,https://res.cloudinary.com/dyrpgj8od/image/upload/v1673441549/Monza/sjkdms4fjlk48r6uwuci.jpg,https://res.cloudinary.com/dyrpgj8od/image/upload/v1673441551/Monza/ohllodl0re2p9ggulhyp.jpg","Vehicle","","888"
"cXCJLXG86DmrGddb9JuGKw","Ford Focus III S","💥Modelo: 2016
💥Motor: undefined
💥undefined
💥undefined
💥88.000 km
💥Tracción: Normal","in stock","1","used","6500000 ARS","https://www.facebook.com/MonzaAutomotor","https://res.cloudinary.com/dyrpgj8od/image/upload/v1685995733/Monza/vjnthzghij19hdznufev.jpg","https://res.cloudinary.com/dyrpgj8od/image/upload/v1685995735/Monza/k6bxng5fnv3jxpg9dstc.jpg,https://res.cloudinary.com/dyrpgj8od/image/upload/v1685995736/Monza/swdcle6sxerdypv2x72m.jpg,https://res.cloudinary.com/dyrpgj8od/image/upload/v1685995738/Monza/dthylngfjxwj7fu0ole5.jpg,https://res.cloudinary.com/dyrpgj8od/image/upload/v1685995739/Monza/yorchgy3ovwh9lczfj74.jpg","Vehicle","","888"
"d8sobH6w9nnRjlEVfkPH9y","Iveco Daily","💥Modelo: 2014
💥Motor: undefined
💥undefined
💥undefined
💥430.000 km
💥Tracción: Normal","in stock","1","used","14500000 ARS","https://www.facebook.com/MonzaAutomotor","https://res.cloudinary.com/dyrpgj8od/image/upload/v1686508181/Monza/axfccs3o4iseg8d614pa.jpg","https://res.cloudinary.com/dyrpgj8od/image/upload/v1686508182/Monza/zfoovgfnqo2nm78sgddx.jpg,https://res.cloudinary.com/dyrpgj8od/image/upload/v1686508184/Monza/dbih1edxuvcyclzfuass.jpg,https://res.cloudinary.com/dyrpgj8od/image/upload/v1686508185/Monza/gh8k011mpvycasudpmf3.jpg,https://res.cloudinary.com/dyrpgj8od/image/upload/v1686508187/Monza/aobiansfisahe3gyfwld.jpg","Vehicle","","888"
"HuLOQ5uvx5LCTmGdFamNhQ","Volkswagen Gol Trend Trendline","💥Modelo: 2020
💥Motor: undefined
💥undefined
💥undefined
💥73.000 km
💥Tracción: Normal","in stock","1","used","5400000 ARS","https://www.facebook.com/MonzaAutomotor","https://res.cloudinary.com/dyrpgj8od/image/upload/v1678377055/Monza/qiirmtwvhvdmasx32pxy.jpg","https://res.cloudinary.com/dyrpgj8od/image/upload/v1678377056/Monza/dzoybmoyoylpybqaq7k4.jpg,https://res.cloudinary.com/dyrpgj8od/image/upload/v1678377058/Monza/k7jcaesetqnukq9ej15t.jpg,https://res.cloudinary.com/dyrpgj8od/image/upload/v1678377059/Monza/hwjvywzhamdbtvfshkip.jpg,https://res.cloudinary.com/dyrpgj8od/image/upload/v1678377061/Monza/vbvh7w3us6fdio984vuq.jpg,https://res.cloudinary.com/dyrpgj8od/image/upload/v1678377062/Monza/li0otaguctfzos9wmpgw.jpg","Vehicle","","888"
"JtaokEmiureCkQZ5fG4hv5","Fiat Grand Siena Attractive","💥Modelo: 2013
💥Motor: undefined
💥undefined
💥undefined
💥150.000 km
💥Tracción: Normal","in stock","1","used","3500000 ARS","https://www.facebook.com/MonzaAutomotor","https://res.cloudinary.com/dyrpgj8od/image/upload/v1681222713/Monza/ayhbzbicsmber2m8ytaj.jpg","https://res.cloudinary.com/dyrpgj8od/image/upload/v1681222716/Monza/bfueiypodtpzojw9fjxh.jpg,https://res.cloudinary.com/dyrpgj8od/image/upload/v1681222718/Monza/mtrv0logdqunjjqs8aau.jpg,https://res.cloudinary.com/dyrpgj8od/image/upload/v1681222720/Monza/yfp2l3mel1pduwlf74jj.jpg,https://res.cloudinary.com/dyrpgj8od/image/upload/v1681222722/Monza/bbczbztuudxkvqy2k8dx.jpg,https://res.cloudinary.com/dyrpgj8od/image/upload/v1681222724/Monza/fdjb69djieb2uctl1ty8.jpg,https://res.cloudinary.com/dyrpgj8od/image/upload/v1681222726/Monza/zuslnzidszk52v0u8ner.jpg","Vehicle","","888"
"L9yv1rmZBvSfVIpzUhkPup","Fiat Palio ELX","💥Modelo: 2007
💥Motor: undefined
💥undefined
💥undefined
💥206.000 km
💥Tracción: Normal","in stock","1","used","2400000 ARS","https://www.facebook.com/MonzaAutomotor","https://res.cloudinary.com/dyrpgj8od/image/upload/v1681572450/Monza/n1veclxog1uposc8y9h5.jpg","https://res.cloudinary.com/dyrpgj8od/image/upload/v1681572454/Monza/bvhdcdcxvytok89r1wpn.jpg,https://res.cloudinary.com/dyrpgj8od/image/upload/v1681572462/Monza/jbbev2ffhyc0qnvhytha.jpg,https://res.cloudinary.com/dyrpgj8od/image/upload/v1681572465/Monza/fsvwizrqfpvdwcyuzbcv.jpg,https://res.cloudinary.com/dyrpgj8od/image/upload/v1681572467/Monza/ko8kogegi6a0abjaro3h.jpg,https://res.cloudinary.com/dyrpgj8od/image/upload/v1681572472/Monza/qsu63xnvlcp8hb7ukwzt.jpg","Vehicle","","888"
"MghQfBulhTUQURWBWJN7wV","Nissan Kicks Advance CVT","💥Modelo: 2020
💥Motor: undefined
💥undefined
💥undefined
💥63.000 km
💥Tracción: Normal","in stock","1","used","8900000 ARS","https://www.facebook.com/MonzaAutomotor","https://res.cloudinary.com/dyrpgj8od/image/upload/v1685626965/Monza/lmmvsxst1hfqvaao6scl.jpg","https://res.cloudinary.com/dyrpgj8od/image/upload/v1685626967/Monza/zfklo89kom2vhdvflt2y.jpg,https://res.cloudinary.com/dyrpgj8od/image/upload/v1685626968/Monza/fqeilb3jbtciljo6nq64.jpg,https://res.cloudinary.com/dyrpgj8od/image/upload/v1685626969/Monza/pxpfo6uzi6hkxidshjrh.jpg,https://res.cloudinary.com/dyrpgj8od/image/upload/v1685626971/Monza/qlcntlixadjttblmwesw.jpg,https://res.cloudinary.com/dyrpgj8od/image/upload/v1685626973/Monza/y9miywdrr4dipk1xtsjh.jpg","Vehicle","","888"
"O4GitEYXk9MnbeAiMg8nPO","Peugeot 206 XR","💥Modelo: 2006
💥Motor: undefined
💥undefined
💥undefined
💥168.000 km
💥Tracción: Normal","in stock","1","used","1950000 ARS","https://www.facebook.com/MonzaAutomotor","https://res.cloudinary.com/dyrpgj8od/image/upload/v1679936159/Monza/mggvkcsih68vceh9flhn.jpg","https://res.cloudinary.com/dyrpgj8od/image/upload/v1679936161/Monza/stba3dlzzfdnutcfnbzj.jpg,https://res.cloudinary.com/dyrpgj8od/image/upload/v1679936163/Monza/wk0zwipnnrdprjeo6m2d.jpg,https://res.cloudinary.com/dyrpgj8od/image/upload/v1679936165/Monza/np1rb5v9qec5kawms0p1.jpg,https://res.cloudinary.com/dyrpgj8od/image/upload/v1679936167/Monza/ls6difhlasul1ce5cknp.jpg,https://res.cloudinary.com/dyrpgj8od/image/upload/v1679936169/Monza/amawfea0k0jagundmerp.jpg,https://res.cloudinary.com/dyrpgj8od/image/upload/v1679936171/Monza/yylyinujigfjfsdzjujd.jpg","Vehicle","","888"
